,First Name,Last Name,Team,Start Date,End Date
165,Joe,Kinnear,Newcastle United,2009-02-07,2009-02-10
166,Tony,Adams,Portsmouth FC,2009-02-05,2009-02-08
167,Felipe,Scolari,Chelsea FC,2009-02-05,2009-02-08
168,Paul,Ince,Blackburn Rovers,2008-12-12,2008-12-15
169,Roy,Keane,Sunderland AFC,2008-11-30,2008-12-03
170,Juande,Ramos,Tottenham Hotspur,2008-10-23,2008-10-26
171,Harry,Redknapp,Portsmouth FC,2008-10-21,2008-10-24
172,Chris,Hughton,Newcastle United,2008-09-21,2008-09-24
173,Kevin,Keegan,Newcastle United,2008-08-31,2008-09-03
174,Alan,Curbishley,West Ham United,2008-08-30,2008-09-02
175,Mark,Hughes,Blackburn Rovers,2008-05-30,2008-06-02
176,Sven-Göran,Eriksson,Manchester City,2008-05-29,2008-06-01
177,Avram,Grant,Chelsea FC,2008-05-20,2008-05-23
178,Nigel,Pearson,Newcastle United,2008-01-12,2008-01-15
179,Sam,Allardyce,Newcastle United,2008-01-05,2008-01-08
180,Billy,McKinlay,Fulham FC,2007-12-24,2007-12-27
181,Lawrie,Sanchez,Fulham FC,2007-12-17,2007-12-20
182,Billy,Davies,Derby County,2007-11-22,2007-11-25
183,Frank,Barlow,Wigan Athletic,2007-11-15,2007-11-18
184,Steve,Bruce,Birmingham City,2007-11-15,2007-11-18
185,Chris,Hutchings,Wigan Athletic,2007-11-01,2007-11-04
186,Martin,Jol,Tottenham Hotspur,2007-10-21,2007-10-24
187,Archie,Knox,Bolton Wanderers,2007-10-21,2007-10-24
188,Sammy,Lee,Bolton Wanderers,2007-10-13,2007-10-16
189,José,Mourinho,Chelsea FC,2007-09-16,2007-09-19
190,Stuart,Pearce,Manchester City,2007-05-10,2007-05-13
191,Paul,Jewell,Wigan Athletic,2007-05-10,2007-05-13
192,Glenn,Roeder,Newcastle United,2007-05-02,2007-05-05
193,Sam,Allardyce,Bolton Wanderers,2007-04-26,2007-04-29
194,Chris,Coleman,Fulham FC,2007-04-06,2007-04-09
195,Les,Reed,Charlton Athletic,2006-12-20,2006-12-23
196,Alan,Pardew,West Ham United,2006-12-07,2006-12-10
197,Iain,Dowie,Charlton Athletic,2006-11-11,2006-11-14
198,Roy,Aitken,Aston Villa,2006-07-31,2006-08-03
199,David,O'Leary,Aston Villa,2006-07-16,2006-07-19
200,Kevin,Ball,Charlton Athletic,2006-06-26,2006-06-29
201,Alan,Curbishley,Middlesbrough FC,2006-06-26,2006-06-29
202,Steve,McClaren,Sunderland AFC,2006-06-26,2006-06-29
203,Mick,McCarthy,Sunderland AFC,2006-03-02,2006-03-05
204,Graeme,Souness,Newcastle United,2006-01-29,2006-02-01
205,Alain,Perrin,Portsmouth FC,2005-11-20,2005-11-23
206,Velimir,Zajec,Portsmouth FC,2005-04-03,2005-04-06
207,Kevin,Keegan,Manchester City,2005-03-06,2005-03-09
208,Steve,Wigley,Southampton FC,2004-12-04,2004-12-07
209,Harry,Redknapp,Portsmouth FC,2004-11-20,2004-11-23
210,Frank,Burrows,West Bromwich Albion,2004-11-04,2004-11-07
211,Jacques,Santini,Tottenham Hotspur,2004-11-02,2004-11-05
212,Gary,Megson,West Bromwich Albion,2004-10-22,2004-10-25
213,Tony,Parkes,Blackburn Rovers,2004-09-11,2004-09-14
214,John,Carver,Newcastle United,2004-09-08,2004-09-11
215,Graeme,Souness,Blackburn Rovers,2004-09-02,2004-09-05
216,Bobby,Robson,Newcastle United,2004-08-25,2004-08-28
217,Paul,Sturrock,Southampton FC,2004-08-19,2004-08-22
