,Links,Status
304,https://bleacherreport.com/articles/959666-benfica-stadium-fire-video-watch-irate-sporting-fans-try-to-burn-down-venue,0
305,https://www.telegraph.co.uk/sport/football/teams/swansea-city/8916247/Swansea-City-midfielder-Leon-Britton-stands-tall-as-the-pass-master-of-Europe.html,0
306,https://www.nrk.no/sport/fotball/uniteds-kjempespurt-holdt-ikke-1.7892605,0
307,https://www.nytimes.com/2011/11/30/sports/soccer/30iht-soccer30.html,0
309,https://www.dailymail.co.uk/sport/football/article-2067556/Gary-Speed-dead-Bryn-Law-breaks-Sky-Sports-News.html,0
311,https://www.express.co.uk/news/uk/286403/Shock-death-of-football-manager-Gary-Speed-42,0
312,https://www.thejournal.ie/the-daily-fix-saturday-36-289883-Nov2011/,0
314,https://www.express.co.uk/sport/football/286206/Manchester-United-1-Newcastle-1-Demba-Ba-penalty-holds-champions,0
316,https://bleacherreport.com/articles/960590-50-greatest-european-football-clubs-ever,0
317,https://www.dailymail.co.uk/sport/football/article-2000925/Manchester-United-sign-Phil-Jones-Blackburn-16m.html,0
319,https://www.telegraph.co.uk/sport/football/teams/manchester-united/8563675/Manchester-United-set-to-sign-Phil-Jones-as-Liverpool-miss-out-on-Blackburn-Rovers-defender.html,0
320,https://www.express.co.uk/sport/football/251648/Manchester-United-snap-up-16-5m-Phil-Jones-and-Ashley-Young-is-next-in-line,0
321,https://www.dailymail.co.uk/sport/football/article-2000861/Sir-Alex-Fegusons-hairdryer-inspired-Manchester-United-title--Partice-Evra.html,0
323,https://www.dailymail.co.uk/sport/football/article-2001749/Manchester-United-open-talks-Samir-Nasri.html,0
325,https://www.telegraph.co.uk/sport/football/teams/manchester-united/8566956/Under-21s-coach-Stuart-Pearce-tips-Manchester-Uniteds-new-signing-Phil-Jones-to-be-future-England-captain.html,0
327,https://www.dailymail.co.uk/sport/football/article-2001034/Sunderland-bid-Manchester-United-trio-Wes-Brown-Darron-Gibson-John-OShea.html,0
329,https://www.dailymail.co.uk/sport/football/article-2001927/Wesley-Sneijder-Manchester-United-Chelsea.html,0
330,https://www.dailymail.co.uk/sport/football/article-2002073/Eric-Cantona-set-Manchester-United-return-Paul-Scholes-testimonial.html,0
332,https://www.adelaidenow.com.au/news/south-australia/flanagan-strikes-out/news-story/d0ab818e17f1d439506a5901d268a92b,0
334,https://football-talk.co.uk/25990/young-arrival-spells-manchester-united-formation/,0
336,https://www.bbc.co.uk/sport/horse-racing/13731789,0
338,https://www.telegraph.co.uk/sport/football/teams/manchester-united/8544640/Champions-League-final-2011-Barcelona-are-the-best-team-we-have-faced-says-Sir-Alex-Ferguson.html,0
339,https://www.bbc.co.uk/sport/football/13587100,0
340,https://bleacherreport.com/articles/716160-barcelona-are-the-best-team-we-have-ever-faced-sir-alex-ferguson,0
342,https://www.independent.co.uk/sport/football/premier-league/manchester-united-fans-brave-rain-for-parade-2290963.html,0
343,https://www.bbc.co.uk/news/uk-england-manchester-13590280,0
344,https://www.dailyrecord.co.uk/sport/football/lionel-messi-simply-the-best-footballer-1104248,0
345,https://www.belfasttelegraph.co.uk/sport/football/european/alex-ferguson-to-stay-on-as-manchester-united-manager-in-bid-to-end-barcelona-dominance-28621731.html,0
347,https://www.telegraph.co.uk/sport/football/teams/manchester-united/8545001/Sir-Alex-Ferguson-move-for-15m-Ashley-Young-paves-way-for-Dimitar-Berbatovs-departure-from-Manchester-United.html,0
348,https://www.dailymail.co.uk/debate/article-1392587/Forget-FIFA-corruption-Sir-Alex-Fergusons-unsightly-gum-chewing.html,0
349,https://www.novinite.com/articles/128790/Newcastle%2C+Borussia+Dortmund+Said+to+Eye+Berbatov,0
350,https://www.telegraph.co.uk/sport/football/teams/manchester-united/8548999/Paul-Scholes-what-the-games-greats-have-said-about-him.html,0
352,https://www.dailymail.co.uk/sport/football/article-1392753/Luka-Modric-Wesley-Sneijder--replace-Paul-Scholes-Manchester-United.html,0
353,https://www.express.co.uk/sport/football/250095/Zinedine-Zidane-Paul-Scholes-was-my-toughest-rival,0
354,https://www.goal.com/en-gb/news/2896/premier-league/2011/05/31/2511350/undoubtedly-the-greatest-midfielder-of-his-generation-what,0
355,https://www.telegraph.co.uk/sport/football/teams/manchester-united/8542684/Manchester-United-keeper-Edwin-van-der-Sar-not-to-blame-Barcelona-were-just-too-hot-says-Alex-Stepney.html,0
357,https://www.bbc.co.uk/blogs/jonathanstevenson/2011/05/proud_guardiola_nears_end_of_b.html,0
359,https://www.telegraph.co.uk/sport/football/players/lionel-messi/8541334/Lionel-Messi-left-Manchester-United-mesmerised-with-a-display-befitting-the-occasion.html,0
360,https://www.lemonde.fr/sport/article/2011/05/29/ferguson-barcelone-est-la-meilleure-equipe-que-j-aie-vue_1529029_3242.html,0
362,https://www.purepeople.com/article/champions-league-messi-villa-et-le-fc-barcelone-sont-les-rois-d-europe_a80735/1,0
363,https://www.liberation.fr/sports/2011/05/29/le-barca-un-collectif-au-jeu-divin-mene-par-son-messi_739153,0
364,https://www.spiegel.de/sport/fussball/frustrierter-ferguson-niemand-hat-uns-jemals-so-verpruegelt-a-765538.html,0
366,https://www.telegraph.co.uk/sport/football/competitions/league-one/8541708/Huddersfield-Town-0-Peterborough-United-3-match-report.html,0
368,https://www.dagbladet.no/sport/ferguson-rasende-etter-lindegaard-forsovelse/63698188,0
370,https://bleacherreport.com/articles/716501-steven-gerrard-and-the-top-10-players-of-the-premier-league-era,0
372,https://www.telegraph.co.uk/sport/football/teams/manchester-united/8544514/Alex-Ferguson-admits-no-team-has-given-us-a-hiding-like-that-after-Barcelona-win-Champions-League-final.html,0
376,https://www.bbc.co.uk/sport/football/13576522,0
377,https://www.nytimes.com/2011/05/29/sports/soccer/in-dominant-display-barcelona-wins-champions-league.html,0
386,https://bleacherreport.com/articles/718020-paul-scholes-an-excellent-player-but-no-xavi-or-zinedine-zidane,0
388,https://www.fifa.com/clubworldcup/news/puyol-misses-out-berbatov-not-bench-1442802,0
390,https://www.dailymail.co.uk/sport/football/article-1391992/Abidal-lifts-trophy-just-months-diagnosed-cancer.html,0
393,https://uk.reuters.com/article/uk-soccer-champions-vandersar/a-game-too-far-for-united-says-departing-van-der-sar-idUKTRE74R2LV20110528,0
394,https://www.uefa.com/uefachampionsleague/news/newsid=1636438.html,0
396,https://www.dailymail.co.uk/sport/article-1391782/WHAT-THE-PAPERS-SAY-Pep-Guardiola-throws-future-doubt-Sir-Alex-predicts-classic.html,0
401,https://elpais.com/deportes/2011/05/28/actualidad/1306567336_850215.html,0
402,https://www.lavanguardia.com/deportes/futbol/20110528/54161061103/el-barca-gana-su-cuarta-champions-league-en-wembley.html,0
403,https://www.independent.co.uk/sport/football/european/ferguson-says-no-one-has-given-us-a-hiding-like-that-2290623.html,0
411,https://blogs.tribune.com.pk/story/6101/clash-of-the-titans-johan-cruyff-vs-alex-ferguson/,0
423,https://www.telegraph.co.uk/sport/football/competitions/champions-league/8541804/Champions-League-final-2011-I-was-told-to-keep-Manchester-United-move-secret-says-Javier-Hernandez.html,0
430,https://www.elsiglodetorreon.com.mx/noticia/629439.html,0
435,https://www.independent.co.uk/sport/football/premier-league/alex-ferguson-slams-twitter-and-considers-banning-manchester-united-players-2286889.html,0
436,https://www.telegraph.co.uk/sport/football/teams/manchester-united/8525859/Twitter-is-a-waste-of-time-says-Manchester-United-manager-Sir-Alex-Ferguson.html,0
438,https://www.dailymail.co.uk/sport/football/article-1389086/Manchester-United-consider-Twitter-ban-Wayne-Rooney-threat.html,0
439,https://www.iol.co.za/sport/soccer/premier-league/vidic-named-barclays-player-of-the-year-1071890,0
440,https://www.bbc.co.uk/sport/football/13479964,0
441,https://www.telegraph.co.uk/sport/football/teams/manchester-united/8525059/Manchester-Uniteds-Gary-Neville-promotes-Sustainability-in-Sport-making-football-fans-conscious-of-environment.html,0
443,https://www.dailymail.co.uk/sport/football/article-1389033/David-Beckham-confirms-appearance-Gary-Neville-testimonial.html,0
444,https://www.dailymail.co.uk/sport/football/article-1388552/Blackpool-boss-Ian-Holloway-feel-fear.html,0
446,https://bleacherreport.com/articles/708207-atltico-madrid-keeper-de-gea-finally-headed-to-manchester-united,0
447,https://www.independent.ie/sport/soccer/premier-league/fergie-to-leave-out-big-guns-26734792.html,0
449,https://bleacherreport.com/articles/699650-english-premier-league-ranking-the-top-10-players-this-season,0
450,https://www.bbc.co.uk/sport/football/13447363,0
452,https://www.dailymail.co.uk/sport/football/article-1389347/Manchester-United-old-boy-Andy-Cole-delivers-damning-verdict-City.html,0
454,https://www.dailymail.co.uk/sport/football/article-1388897/Alex-Ferguson-beaten-Liverpool-record-Bob-Paisley.html,0
456,https://bleacherreport.com/articles/705006-champions-league-final-10-things-wed-like-to-see-barcelona-v-man-united,0
457,https://www.dailymail.co.uk/sport/football/article-1389384/Andy-Cole-tells-Wayne-Rooney-calm-Manchester-United-strikers-row-fan-Twitter.html,0
459,https://www.dailymail.co.uk/sport/football/article-1387013/Blackburn-1-Manchester-Utd-1-Rooney-holds-nerve-seal-record-19th-title-triumph.html,0
460,https://www.bbc.co.uk/sport/football/13400943,0
461,https://tribune.com.pk/story/168114/one-point-today-and-united-are-champions/?amp=1,0
462,https://www.telegraph.co.uk/sport/football/teams/manchester-united/7944343/Blackburn-Rovers-1-Manchester-United-1-match-report.html,0
464,https://www.channel4.com/news/city-of-manchester-united-in-footballing-celebration,0
466,https://www.dailymail.co.uk/sport/football/article-1387006/What-pages-say-May-14-Roberto-Mancini-Carlos-Tevez-leave-unhappy.html,0
467,https://www.independent.co.uk/sport/football/news-and-comment/gary-neville-hoping-david-beckham-can-make-testimonial-2282279.html,0
469,https://www.joe.ie/uncategorized/noel-gallagher-threatens-to-destroy-gary-nevilles-moustache-with-his-teeth-24011,0
470,https://www.dailymail.co.uk/sport/football/article-1385936/Manchester-United-defender-Rio-Ferdinand-admits-2009-Champions-League-final-haunts.html,0
